Title,Company,Location,Apply
b'Urgent | Opening for Wealth Relationship Manager',b'PARADIGM',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/urgent-opening-for-wealth-relationship-manager-at-paradigm-4072576014?position=9&pageNum=2&refId=JKwQEBPR%2FJOCPcY8pPRmyA%3D%3D&trackingId=SPtDouw8im%2B2yChtOOuEbQ%3D%3D'
b'Operations Manager',b'ICICI Lombard',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/operations-manager-at-icici-lombard-4059303443?position=10&pageNum=2&refId=JKwQEBPR%2FJOCPcY8pPRmyA%3D%3D&trackingId=V7oolkUK3SQxGdVt8AgNdw%3D%3D'
b'Urgent | Opening for Wealth Relationship Manager',b'PARADIGM',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/urgent-opening-for-wealth-relationship-manager-at-paradigm-4072576014?position=1&pageNum=3&refId=ELmPnIp1BCv3EM608qgoQQ%3D%3D&trackingId=%2F%2BlsBEiIjnnQciSJ9dn37Q%3D%3D'
b'Operations Manager',b'ICICI Lombard',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/operations-manager-at-icici-lombard-4059303443?position=2&pageNum=3&refId=ELmPnIp1BCv3EM608qgoQQ%3D%3D&trackingId=zinpUz5OGtExXZeb9mib%2Bg%3D%3D'
b'Finance Manager',b'Peppermint Robotics',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/finance-manager-at-peppermint-robotics-4033260623?position=3&pageNum=3&refId=ELmPnIp1BCv3EM608qgoQQ%3D%3D&trackingId=QyxVTaIGb%2BUFLoqeSj0iYQ%3D%3D'
"b'Business System Analyst (Pune, Kolkata)'",b'Tata Consultancy Services',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/business-system-analyst-pune-kolkata-at-tata-consultancy-services-4064772813?position=4&pageNum=3&refId=ELmPnIp1BCv3EM608qgoQQ%3D%3D&trackingId=xslRvQq9sj3mfb1KftfAZA%3D%3D'
b'Data Scientist',b'LTIMindtree',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/data-scientist-at-ltimindtree-3815661772?position=5&pageNum=3&refId=ELmPnIp1BCv3EM608qgoQQ%3D%3D&trackingId=MI2KNEctaiLL%2FKXPYWebew%3D%3D'
b'HR Assistant',b'PrimaVerse',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/hr-assistant-at-primaverse-4069001530?position=6&pageNum=3&refId=ELmPnIp1BCv3EM608qgoQQ%3D%3D&trackingId=b8KYnteiKEVKNv5y0g%2BRaQ%3D%3D'
"b'Urgent Opening for Plant Head in MNC Company for Bhosari, Pune Location'",b'Rajveer Enterprises',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/urgent-opening-for-plant-head-in-mnc-company-for-bhosari-pune-location-at-rajveer-enterprises-4032805146?position=7&pageNum=3&refId=ELmPnIp1BCv3EM608qgoQQ%3D%3D&trackingId=lDqQIh7d6re7K8hwoE%2Bexg%3D%3D'
b'Analyst',b'SecurityHQ',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/analyst-at-securityhq-4030784751?position=8&pageNum=3&refId=ELmPnIp1BCv3EM608qgoQQ%3D%3D&trackingId=xE7RJZr8KKX9wbIiT0a64A%3D%3D'
b'Network Engineer freshers',b'Career',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/network-engineer-freshers-at-career-4050399461?position=9&pageNum=3&refId=ELmPnIp1BCv3EM608qgoQQ%3D%3D&trackingId=ToUm4wNQmS1yp9dp5yaFVQ%3D%3D'
b'Data & Analytics Specialist',b'Capgemini',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/data-analytics-specialist-at-capgemini-4033705718?position=10&pageNum=3&refId=ELmPnIp1BCv3EM608qgoQQ%3D%3D&trackingId=u4HMYQtAFxOMJNkFNPXTzQ%3D%3D'
